omim_num,omim_link,location,phenotype,phenotype_mim_number,inheritance,phenotype_mapping_key,gene_or_locus,gene_or_locus_mim_number
617168,https://www.omim.org/entry/617168?search=617168&highlight=617168,5q23.1,"Aortic aneurysm, familial thoracic 10",617168,AD,3,LOX,153455
618999,https://www.omim.org/entry/618999?search=618999&highlight=618999,1p31.3,"Autoinflammation, immune dysregulation, and eosinophilia",618999,AD,3,JAK1,147795
258900,https://www.omim.org/entry/258900?search=258900&highlight=258900,3q21.2,Orotic aciduria,258900,AR,3,UMPS,613891
236600,https://www.omim.org/entry/236600?search=236600&highlight=236600,14q32.11-q32.12,"Hydrocephalus, congenital, 1",236600,AR,3,CCDC88C,611204
616053,https://www.omim.org/entry/616053?search=616053&highlight=616053,14q32.11-q32.12,Spinocerebellar ataxia 40,616053,AD,3,CCDC88C,611204
617294,https://www.omim.org/entry/617294?search=617294&highlight=617294,3q27.1,"Epidermolysis bullosa simplex 6, generalized intermediate, with or without cardiomyopathy",617294,AD,3,KLHL24,611295
620236,https://www.omim.org/entry/620236?search=620236&highlight=620236,3q27.1,"Cardiomyopathy, familial hypertrophic, 29, with polyglucosan bodies",620236,AR,3,KLHL24,611295
618384,https://www.omim.org/entry/618384?search=618384&highlight=618384,20q13.12,"Leukoencephalopathy, acute reversible, with increased urinary alpha-ketoglutarate",618384,AR,3,SLC13A3,606411
228930,https://www.omim.org/entry/228930?search=228930&highlight=228930,3p25.1,Fuhrmann syndrome,228930,AR,3,WNT7A,601570
276820,https://www.omim.org/entry/276820?search=276820&highlight=276820,3p25.1,"Ulna and fibula, absence of, with severe limb deficiency",276820,AR,3,WNT7A,601570
613005,https://www.omim.org/entry/613005?search=613005&highlight=613005,3p25.1,Santos syndrome,613005,AR,3,WNT7A,601570
126600,https://www.omim.org/entry/126600?search=126600&highlight=126600,2p16.1,Doyne honeycomb degeneration of retina,126600,AD,3,EFEMP1,601548
611276,https://www.omim.org/entry/611276?search=611276&highlight=611276,2p16.1,"Glaucoma 1, open angle, H",611276,AD,3,EFEMP1,601548
620780,https://www.omim.org/entry/620780?search=620780&highlight=620780,2p16.1,"Cutis laxa, autosomal recessive, type ID",620780,AR,3,EFEMP1,601548
121050,https://www.omim.org/entry/121050?search=121050&highlight=121050,5q23.3,"Contractural arachnodactyly, congenital",121050,AD,3,FBN2,612570
616118,https://www.omim.org/entry/616118?search=616118&highlight=616118,5q23.3,"Macular degeneration, early-onset",616118,AD,3,FBN2,612570
600142,https://www.omim.org/entry/600142?search=600142&highlight=600142,10q26.13,"Cerebral arteriopathy, autosomal recessive, with subcortical infarcts and leukoencephalopathy 2",600142,AR,3,HTRA1,602194
616779,https://www.omim.org/entry/616779?search=616779&highlight=616779,10q26.13,"Cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy 2",616779,AD,3,HTRA1,602194
203450,https://www.omim.org/entry/203450?search=203450&highlight=203450,17q21.31,Alexander disease,203450,AD,3,GFAP,137780
243605,https://www.omim.org/entry/243605?search=243605&highlight=243605,1q41,Stromme syndrome,243605,AR,3,CENPF,600236
225100,https://www.omim.org/entry/225100?search=225100&highlight=225100,1q21.2,"Ectopia lentis, isolated, autosomal recessive",225100,AR,3,ADAMTSL4,610113
617347,https://www.omim.org/entry/617347?search=617347&highlight=617347,19q13.32;19q13.32,"Coronary artery disease, severe, susceptibility to;Hyperlipoproteinemia, type III",617347;617347,,3;3,APOE;APOE,107741;107741
269600,https://www.omim.org/entry/269600?search=269600&highlight=269600,19q13.32,Sea-blue histiocyte disease,269600,AR,3,APOE,107741
611771,https://www.omim.org/entry/611771?search=611771&highlight=611771,19q13.32,Lipoprotein glomerulopathy,611771,,3,APOE,107741
