pmid,note
15905468,table1 reference
19539236,table1 reference
23649698,table1 reference
26063658,table1 reference
27664989,table1 reference
30651383,table1 reference
30859180,table1 reference
31430377,table1 reference
32358547,table1 reference
32913026,table1 reference
33293549,table1 reference
33773636,table1 reference
33773637,table1 reference
34358307,table1 reference
34606115,table1 reference
35325079,table1 reference
35328582,table1 reference
35511193,table1 reference
35943854,table1 reference
36180795,table1 reference
37063705,table1 reference
37069360,table1 reference
37684694,table1 reference
38811690,table1 reference
39114924,table1 reference
39216230,table1 reference
39805841,table1 reference
40898560,table1 reference
40908978,table1 reference
40982447,table1 reference
40999599,table1 reference
41001161,table1 reference
41018180,table1 reference
41052699,table1 reference
41062325,table1 reference
41074918,table1 reference
41089070,table1 reference
41110835,table1 reference
41139503,table1 reference
41142321,table1 reference
41196431,table1 reference
41200916,table1 reference
41204227,table1 reference
41222721,table1 reference
41266628,table1 reference
41300806,table1 reference
41311701,table1 reference
41312509,table1 reference
41327223,table1 reference
41371679,table1 reference
41395713,table1 reference
41398476,table1 reference
41398477,table1 reference
41400577,table1 reference
41413740,table1 reference
41457966,table1 reference
41480674,table1 reference
41499643,table1 reference
41512030,table1 reference
41554616,table1 reference
41554961,table1 reference
41566527,table1 reference
41577745,table1 reference
41592617,table1 reference
41595517,table1 reference
41596592,table1 reference
41614465,table1 reference
41645213,table1 reference
41667829,table1 reference
41669348,table1 reference
41669960,table1 reference
41751611,table1 reference
41776534,table1 reference
41784710,table1 reference
41789880,table1 reference
41806331,table1 reference
41841652,table1 reference
41870654,table1 reference
41895274,table1 reference
41900914,table1 reference
41947304,table1 reference
41951984,table1 reference
42002114,table1 reference
42006602,table1 reference
42012365,table1 reference
42039925,table1 reference
42040931,table1 reference
42065832,table1 reference
42103335,table1 reference
42116316,table1 reference
42147988,table1 reference
42169653,table1 reference
42177738,table1 reference
42225261,table1 reference
42236496,table1 reference
42237372,table1 reference
42243880,table1 reference
42246940,table1 reference
42249339,table1 reference
42253958,table1 reference
42403363,table1 reference
42421401,table1 reference
42437605,table1 reference
42438399,table1 reference
42481886,table1 reference
42533185,table1 reference
42607872,table1 reference
42621038,table1 reference
42626038,table1 reference
42650130,table1 reference
42684564,table1 reference
